Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,model.max_depth,model.n_estimators,acc_train,acc_validation,f1_test,f1_train,f1_validation,prec_val
2022-09-12 11:23:43,33.1s,5846d4d098e543c5b6a97bf547f3a467,,LOCAL,train_mlgapfill.py,bezk,FINISHED,10,50,0.975,0.8319148936170213,0.02150537634408602,0.9719626168224299,0.793733681462141,0.7194822497739803
2022-09-12 11:19:58,33.9s,32cac2d8c17e4fcb98f1a627e3b16811,,LOCAL,train_mlgapfill.py,bezk,FINISHED,30,500,0.9842105263157894,0.8044444444444444,0,0.9784172661870504,0.7884615384615385,0.7309199256843745
2022-09-12 11:21:50,37.6s,8e1afa697d21401089094b3760d25802,,LOCAL,train_mlgapfill.py,bezk,FINISHED,75,500,0.9763157894736842,0.8022222222222222,0,0.9734513274336284,0.784503631961259,0.6701876930387265
2022-09-12 11:35:50,38.1s,1679037ccbed47a88563f659151636ec,,LOCAL,train_mlgapfill.py,bezk,FINISHED,75,250,0.9705882352941176,0.7959183673469388,0.042553191489361694,0.9657534246575341,0.7767857142857144,0.6742385137349185
2022-09-12 11:28:07,32.0s,c03b298ed2cb4cd1a7f1278ef4ba0dad,,LOCAL,train_mlgapfill.py,bezk,FINISHED,10,100,0.9789473684210527,0.8177777777777778,0,0.978021978021978,0.7696629213483146,0.6708326311650377
2022-09-12 11:29:43,35.0s,bb1d5282b3d34b67983b0beeb599d41b,,LOCAL,train_mlgapfill.py,bezk,FINISHED,40,100,0.9757575757575757,0.79,0.10309278350515463,0.9669421487603306,0.7692307692307694,0.710199404416599
2022-09-12 11:07:01,38.7s,c53cadd4c13b4c54a2783e7f7b7a49d6,,LOCAL,train_mlgapfill.py,bezk,FINISHED,50,50,0.9769230769230769,0.8159090909090909,0.06315789473684211,0.9723076923076923,0.7692307692307692,0.7236405283198477
2022-09-12 11:41:04,36.5s,10de1135b8a04f39ae958b157c59b10b,,LOCAL,train_mlgapfill.py,bezk,FINISHED,75,500,0.985,0.7883720930232558,0,0.9822485207100593,0.7648578811369509,0.6742598584969626
2022-09-12 11:36:29,35.3s,ab6cb7d180d54a1692d35075683395ef,,LOCAL,train_mlgapfill.py,bezk,FINISHED,100,250,0.975609756097561,0.780952380952381,0,0.9698795180722891,0.7616580310880829,0.6803722504230119
2022-09-12 11:24:16,34.4s,c36f1e33e54e4b8f9cb5897f56d8fef9,,LOCAL,train_mlgapfill.py,bezk,FINISHED,20,50,0.9871794871794872,0.8045454545454546,0,0.9848942598187312,0.7556818181818181,0.6987221069019202
2022-09-12 11:33:57,39.9s,1b8facfa05354aac8ed481b95a9a0665,,LOCAL,train_mlgapfill.py,bezk,FINISHED,30,250,0.975,0.7872340425531915,0,0.970873786407767,0.7549019607843138,0.6720594100310672
2022-09-12 11:15:26,32.4s,0f5c2c3bef55430cb15049b45216c12c,,LOCAL,train_mlgapfill.py,bezk,FINISHED,30,250,0.9829268292682927,0.7761904761904762,0,0.9770491803278688,0.7539267015706806,0.7003567799967833
2022-09-12 11:06:24,36.8s,c10d43893ace4fc18ccd7f5cd24bb597,,LOCAL,train_mlgapfill.py,bezk,FINISHED,40,50,0.968421052631579,0.7777777777777778,0,0.9591836734693878,0.7487437185929648,0.6953697374750005
2022-09-12 11:33:24,32.9s,4fd54b75bf344143aa902e7047579590,,LOCAL,train_mlgapfill.py,bezk,FINISHED,20,250,0.9804878048780488,0.7833333333333333,0.02150537634408602,0.9777777777777779,0.7479224376731302,0.6551459293394778
2022-09-12 11:14:49,37.3s,052e18d42c714920b025ac78b3062f7c,,LOCAL,train_mlgapfill.py,bezk,FINISHED,20,250,0.9757575757575757,0.766,0,0.9741935483870968,0.7473002159827213,0.6229923954372624
2022-09-12 11:13:39,35.3s,0095dfc9998e429ba3da978c111471d0,,LOCAL,train_mlgapfill.py,bezk,FINISHED,None,250,0.9815789473684211,0.7844444444444445,0,0.9808219178082191,0.7467362924281985,0.6295348197082301
2022-09-12 11:16:31,32.6s,535d45c96bdd44a7b89d95656857e162,,LOCAL,train_mlgapfill.py,bezk,FINISHED,50,250,0.9825,0.786046511627907,0,0.9800569800569802,0.7415730337078651,0.6592502471797288
2022-09-12 11:09:32,37.8s,63d89c8b2f474863a83ae1641ed6c0d1,,LOCAL,train_mlgapfill.py,bezk,FINISHED,10,100,0.9621621621621622,0.7717391304347826,0.02150537634408602,0.9548387096774195,0.7407407407407407,0.6512758263585896
